player,nationality,position,age,weekly_wages,annual_wages,notes,team_name,team_id,season
Kai Havertz,de GER,CF,26,"£ 280,000 (€ 321,368, $371,011)","£ 14,560,000 (€ 16,711,124, $19,292,582)",,Arsenal,18bb7c10,2025-2026
Gabriel Jesus,br BRA,CF,28,"£ 265,000 (€ 304,152, $351,136)","£ 13,780,000 (€ 15,815,885, $18,259,051)",,Arsenal,18bb7c10,2025-2026
Declan Rice,eng ENG,CM,26,"£ 240,000 (€ 275,458, $318,010)","£ 12,480,000 (€ 14,323,820, $16,536,499)",,Arsenal,18bb7c10,2025-2026
Martin Ødegaard,no NOR,AM,26,"£ 240,000 (€ 275,458, $318,010)","£ 12,480,000 (€ 14,323,820, $16,536,499)",,Arsenal,18bb7c10,2025-2026
Viktor Gyökeres,se SWE,CF,27,"£ 200,000 (€ 229,548, $265,008)","£ 10,400,000 (€ 11,936,517, $13,780,416)",Unverified estimation,Arsenal,18bb7c10,2025-2026
Bukayo Saka,eng ENG,RW,23,"£ 195,000 (€ 223,810, $258,383)","£ 10,140,000 (€ 11,638,104, $13,435,906)",,Arsenal,18bb7c10,2025-2026
William Saliba,fr FRA,CB,24,"£ 190,000 (€ 218,071, $251,758)","£ 9,880,000 (€ 11,339,691, $13,091,395)",,Arsenal,18bb7c10,2025-2026
Gabriel Martinelli,br BRA,LW,24,"£ 180,000 (€ 206,594, $238,507)","£ 9,360,000 (€ 10,742,865, $12,402,374)",,Arsenal,18bb7c10,2025-2026
Oleksandr Zinchenko,ua UKR,LB,28,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,Arsenal,18bb7c10,2025-2026
Ben White,eng ENG,RB,27,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",Unverified estimation,Arsenal,18bb7c10,2025-2026
Gabriel Magalhães,br BRA,CB,27,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",Unverified estimation,Arsenal,18bb7c10,2025-2026
Mikel Merino,es ESP,CM,29,"£ 130,000 (€ 149,206, $172,255)","£ 6,760,000 (€ 7,758,736, $8,957,270)",Unverified estimation,Arsenal,18bb7c10,2025-2026
Riccardo Calafiori,it ITA,LB,23,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Arsenal,18bb7c10,2025-2026
Takehiro Tomiyasu,jp JPN,RB,26,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Arsenal,18bb7c10,2025-2026
Reiss Nelson,eng ENG,RW,25,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Arsenal,18bb7c10,2025-2026
David Raya,es ESP,GK,29,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,Arsenal,18bb7c10,2025-2026
Jurriën Timber,nl NED,RB,24,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",,Arsenal,18bb7c10,2025-2026
Leandro Trossard,be BEL,LW,30,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",,Arsenal,18bb7c10,2025-2026
Martín Zubimendi,es ESP,DM,26,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",,Arsenal,18bb7c10,2025-2026
Jakub Kiwior,pl POL,CB,25,"£ 58,000 (€ 66,569, $76,852)","£ 3,016,000 (€ 3,461,590, $3,996,321)",,Arsenal,18bb7c10,2025-2026
Albert Sambi Lokonga,be BEL,CM,25,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Arsenal,18bb7c10,2025-2026
Fabio Vieira,pt POR,AM,25,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",,Arsenal,18bb7c10,2025-2026
Myles Lewis-Skelly,,LB,18,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Arsenal,18bb7c10,2025-2026
Karl Jakob Hein,ee EST,GK,23,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Arsenal,18bb7c10,2025-2026
Ethan Nwaneri,,RW,18,"£ 6,000 (€ 6,886, $7,950)","£ 312,000 (€ 358,096, $413,412)",Unverified estimation,Arsenal,18bb7c10,2025-2026
Noni Madueke,,RW,23,,,,Arsenal,18bb7c10,2025-2026
Kepa Arrizabalaga,es ESP,GK,30,,,,Arsenal,18bb7c10,2025-2026
Youri Tielemans,be BEL,CM,28,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,Aston Villa,8602292d,2025-2026
Emiliano Martínez,ar ARG,GK,32,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",Unverified estimation,Aston Villa,8602292d,2025-2026
Boubacar Kamara,fr FRA,DM,25,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",Unverified estimation,Aston Villa,8602292d,2025-2026
Donyell Malen,nl NED,RW,26,"£ 140,000 (€ 160,684, $185,506)","£ 7,280,000 (€ 8,355,562, $9,646,291)",,Aston Villa,8602292d,2025-2026
Amadou Onana,be BEL,DM,23,"£ 140,000 (€ 160,684, $185,506)","£ 7,280,000 (€ 8,355,562, $9,646,291)",Unverified estimation,Aston Villa,8602292d,2025-2026
Ollie Watkins,eng ENG,CF,29,"£ 130,000 (€ 149,206, $172,255)","£ 6,760,000 (€ 7,758,736, $8,957,270)",Unverified estimation,Aston Villa,8602292d,2025-2026
Philippe Coutinho,br BRA,AM,33,"£ 125,000 (€ 143,468, $165,630)","£ 6,500,000 (€ 7,460,323, $8,612,760)",,Aston Villa,8602292d,2025-2026
Lucas Digne,fr FRA,LB,31,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Aston Villa,8602292d,2025-2026
John McGinn,sct SCO,CM,30,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",Unverified estimation,Aston Villa,8602292d,2025-2026
Leon Bailey,jm JAM,RW,27,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",Unverified estimation,Aston Villa,8602292d,2025-2026
Tyrone Mings,eng ENG,CB,32,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,Aston Villa,8602292d,2025-2026
Ian Maatsen,nl NED,LB,23,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,Aston Villa,8602292d,2025-2026
Pau Torres,es ESP,CB,28,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,Aston Villa,8602292d,2025-2026
Leander Dendoncker,be BEL,DM,30,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Aston Villa,8602292d,2025-2026
Matty Cash,pl POL,RB,27,"£ 80,000 (€ 91,819, $106,003)","£ 4,160,000 (€ 4,774,607, $5,512,166)",Unverified estimation,Aston Villa,8602292d,2025-2026
Emi Buendía,ar ARG,AM,28,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",,Aston Villa,8602292d,2025-2026
Ezri Konsa,eng ENG,CB,27,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",Unverified estimation,Aston Villa,8602292d,2025-2026
Morgan Rogers,eng ENG,AM,22,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",Unverified estimation,Aston Villa,8602292d,2025-2026
Jacob Ramsey,eng ENG,LM,24,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",,Aston Villa,8602292d,2025-2026
Ross Barkley,eng ENG,CM,31,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Aston Villa,8602292d,2025-2026
Samuel Iling-Junior,eng ENG,LW,21,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Aston Villa,8602292d,2025-2026
Álex Moreno,es ESP,LB,32,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",,Aston Villa,8602292d,2025-2026
Lewis Dobbin,,LW,22,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Aston Villa,8602292d,2025-2026
Andrés García,,RB,22,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Aston Villa,8602292d,2025-2026
Joe Gauci,,GK,24,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Aston Villa,8602292d,2025-2026
Lamare Bogarde,,DM,21,"£ 8,000 (€ 9,182, $10,600)","£ 416,000 (€ 477,461, $551,217)",Unverified estimation,Aston Villa,8602292d,2025-2026
Filip Marschall,,GK,22,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Aston Villa,8602292d,2025-2026
Marco Bizot,nl NED,GK,34,,,,Aston Villa,8602292d,2025-2026
Enzo Barrenechea,,DM,24,,,,Aston Villa,8602292d,2025-2026
Yasin Özcan,,CB,19,,,,Aston Villa,8602292d,2025-2026
Evanilson,br BRA,CF,25,"£ 85,000 (€ 97,558, $112,628)","£ 4,420,000 (€ 5,073,020, $5,856,677)",Unverified estimation,Bournemouth,4ba7cbea,2025-2026
Justin Kluivert,nl NED,AM,26,"£ 80,000 (€ 91,819, $106,003)","£ 4,160,000 (€ 4,774,607, $5,512,166)",Unverified estimation,Bournemouth,4ba7cbea,2025-2026
Antoine Semenyo,gh GHA,LW,25,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",Unverified estimation,Bournemouth,4ba7cbea,2025-2026
Ryan Christie,sct SCO,DM,30,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",,Bournemouth,4ba7cbea,2025-2026
Luis Sinisterra,co COL,LW,26,"£ 65,000 (€ 74,603, $86,128)","£ 3,380,000 (€ 3,879,368, $4,478,635)",Unverified estimation,Bournemouth,4ba7cbea,2025-2026
Tyler Adams,us USA,DM,26,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Bournemouth,4ba7cbea,2025-2026
Lewis Cook,eng ENG,CM,28,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Bournemouth,4ba7cbea,2025-2026
David Brooks,wls WAL,RW,27,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",,Bournemouth,4ba7cbea,2025-2026
Neto,br BRA,GK,35,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Bournemouth,4ba7cbea,2025-2026
Marcos Senesi,ar ARG,CB,28,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Bournemouth,4ba7cbea,2025-2026
Ilya Zabarnyi,,CB,22,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Bournemouth,4ba7cbea,2025-2026
